2017-05-08 18:18:55.287 INFO  com.xiang.demo.java.thread.simple.TestLogBack - 输出info级别的日志.....
2017-05-08 18:22:45.416 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 89
2017-05-08 18:22:45.417 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 88
2017-05-08 18:22:45.417 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 87
2017-05-08 18:22:45.417 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 86
2017-05-08 18:22:45.418 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 85
2017-05-08 18:22:45.418 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 84
2017-05-08 18:22:45.419 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 83
2017-05-08 18:22:45.419 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 82
2017-05-08 18:22:45.419 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 81
2017-05-08 18:22:45.420 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 80
2017-05-08 18:22:45.420 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 79
2017-05-08 18:22:45.421 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 78
2017-05-08 18:22:45.421 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 77
2017-05-08 18:22:45.422 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 76
2017-05-08 18:22:45.422 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 75
2017-05-08 18:22:45.422 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 74
2017-05-08 18:22:45.423 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 73
2017-05-08 18:22:45.424 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 72
2017-05-08 18:22:45.424 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 71
2017-05-08 18:22:45.425 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 70
2017-05-08 18:22:45.427 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 69
2017-05-08 18:22:45.428 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 68
2017-05-08 18:22:45.428 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 67
2017-05-08 18:22:45.428 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 66
2017-05-08 18:22:45.429 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 65
2017-05-08 18:22:45.430 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 64
2017-05-08 18:22:45.431 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 63
2017-05-08 18:22:45.432 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 62
2017-05-08 18:22:45.432 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 61
2017-05-08 18:22:45.433 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 60
2017-05-08 18:22:45.396 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 119
2017-05-08 18:22:45.396 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 117
2017-05-08 18:22:45.396 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 116
2017-05-08 18:22:45.397 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 115
2017-05-08 18:22:45.434 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 57
2017-05-08 18:22:45.397 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 113
2017-05-08 18:22:45.435 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 52
2017-05-08 18:22:45.435 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 51
2017-05-08 18:22:45.435 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 50
2017-05-08 18:22:45.435 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 49
2017-05-08 18:22:45.436 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 48
2017-05-08 18:22:45.436 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 47
2017-05-08 18:22:45.397 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 114
2017-05-08 18:22:45.433 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 59
2017-05-08 18:22:45.433 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 58
2017-05-08 18:22:45.437 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 40
2017-05-08 18:22:45.434 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 56
2017-05-08 18:22:45.438 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 37
2017-05-08 18:22:45.434 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 55
2017-05-08 18:22:45.434 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 53
2017-05-08 18:22:45.434 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 54
2017-05-08 18:22:45.436 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 46
2017-05-08 18:22:45.436 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 45
2017-05-08 18:22:45.437 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 44
2017-05-08 18:22:45.437 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 43
2017-05-08 18:22:45.439 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 34
2017-05-08 18:22:45.437 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 42
2017-05-08 18:22:45.437 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 41
2017-05-08 18:22:45.437 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 39
2017-05-08 18:22:45.438 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 38
2017-05-08 18:22:45.438 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 35
2017-05-08 18:22:45.438 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 36
2017-05-08 18:22:45.440 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 25
2017-05-08 18:22:45.441 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 24
2017-05-08 18:22:45.439 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 33
2017-05-08 18:22:45.441 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 21
2017-05-08 18:22:45.439 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 32
2017-05-08 18:22:45.442 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 19
2017-05-08 18:22:45.439 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 31
2017-05-08 18:22:45.439 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 30
2017-05-08 18:22:45.440 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 29
2017-05-08 18:22:45.440 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 28
2017-05-08 18:22:45.440 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 27
2017-05-08 18:22:45.440 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 26
2017-05-08 18:22:45.441 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 23
2017-05-08 18:22:45.443 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 13
2017-05-08 18:22:45.441 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 22
2017-05-08 18:22:45.441 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 20
2017-05-08 18:22:45.442 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 18
2017-05-08 18:22:45.444 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 8
2017-05-08 18:22:45.442 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 17
2017-05-08 18:22:45.442 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 16
2017-05-08 18:22:45.442 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 15
2017-05-08 18:22:45.445 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 4
2017-05-08 18:22:45.443 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 14
2017-05-08 18:22:45.445 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 2
2017-05-08 18:22:45.446 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 0
2017-05-08 18:22:45.443 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 12
2017-05-08 18:22:45.443 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 11
2017-05-08 18:22:45.443 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 10
2017-05-08 18:22:45.444 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 9
2017-05-08 18:22:45.486 INFO  com.xiang.demo.java.thread.simple.ThreadTest - -1
2017-05-08 18:22:45.516 INFO  com.xiang.demo.java.thread.simple.ThreadTest - -2
2017-05-08 18:22:45.517 INFO  com.xiang.demo.java.thread.simple.ThreadTest - -3
2017-05-08 18:22:45.444 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 7
2017-05-08 18:22:45.444 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 6
2017-05-08 18:22:45.551 INFO  com.xiang.demo.java.thread.simple.ThreadTest - -4
2017-05-08 18:22:45.557 INFO  com.xiang.demo.java.thread.simple.ThreadTest - -5
2017-05-08 18:22:45.445 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 5
2017-05-08 18:22:45.445 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 3
2017-05-08 18:22:45.590 INFO  com.xiang.demo.java.thread.simple.ThreadTest - -6
2017-05-08 18:22:45.613 INFO  com.xiang.demo.java.thread.simple.ThreadTest - -7
2017-05-08 18:22:45.613 INFO  com.xiang.demo.java.thread.simple.ThreadTest - -8
2017-05-08 18:22:45.446 INFO  com.xiang.demo.java.thread.simple.ThreadTest - 1
